word,length,fre,pmi,entropy
から,2,0.0031976466133528058,4.015488425135644,5.433805253627718
によって,4,0.0008453321497930826,3.6196766692060933,5.398176794668357
および,3,0.0002660708335296652,5.893673066948227,5.386192957841077
に対する,4,0.00013938387249592217,3.568274431731064,5.057215582561692
及び,2,0.0001029860596376753,5.902454957898435,4.99649302327728
における,4,0.00027989635934403805,3.6309253637128025,4.926906551676238
を含む,3,0.0001063719026942564,3.8127160280419448,4.913198921942323
あるいは,4,0.00013261218638275997,3.7825900141553883,4.888689758781086
に対して,4,0.00022459425608654666,3.602015539476459,4.870065411992324
に関する,4,0.0001354337222632442,3.632939463084504,4.779210937742242
を持つ,3,0.00019920043316218837,3.799730492200839,4.729547749382997
とともに,4,0.00013148357203056625,3.624392402506045,4.640380172274614
もしくは,4,5.078764584871658e-05,3.8759640849328467,4.591632502698247
だった,3,0.00039106487303511766,3.8382979315235484,4.477408211411377
を通じて,4,5.050549226066816e-05,3.917871433822389,4.400547483058195
ではなく,4,0.00019722535804584938,3.8125881895612426,4.379112172701197
によれば,4,6.122732860650833e-05,3.632939463084504,4.368768786369085
において,4,0.0006035265248355821,3.6264156748025465,4.34080163548939
という,3,0.0016776852345359377,3.8410530011253305,4.32070008755654
を経て,3,7.138485777625165e-05,3.570727936149209,4.184961770176774
を使って,4,7.279562571649377e-05,3.5708799464862047,4.161041800650345
せず,2,8.916053382330245e-05,4.394289375646277,4.151492540449208
に基づく,4,2.9626126745084674e-05,3.632939463084504,4.14377621676069
を行う,3,0.00016110969877565094,3.732470234613793,4.141795233547816
を指す,3,8.718545870696347e-05,3.6840561621165135,4.083883366697647
と呼ぶ,3,0.00011568297109985444,3.7870052987330256,4.08108395992484
大学,2,0.0003157298650261881,3.5734091584663084,4.041189688050466
映画,2,0.00031008679326521957,5.6962964302404995,4.0288197648577615
市出身,3,4.994118508457131e-05,5.629364794333151,3.9844282776752302
を除く,3,3.555135209410161e-05,3.885609080838356,3.9069211482890025
音楽,2,0.00026127422253284196,6.206751235034681,3.868481394418793
ゲーム,3,0.0007335993289259062,5.758979867489865,3.867847281686244
国家,2,0.00013374080073495366,3.7365374342190667,3.828006770106234
を除いて,4,2.624028368850357e-05,3.7937133721970606,3.826253449198381
北海道,3,8.238884771014023e-05,7.165451102673831,3.781264800679076
地方,2,0.00027538190193526324,4.369860811391481,3.763992133366196
太郎,2,8.267100129818866e-05,6.9267448612812474,3.741733295387444
以外にも,4,2.482951574826144e-05,3.97950347054896,3.7396963549913598
管理,2,0.00012358327156521034,5.90375967913948,3.738842522360184
放送,2,0.0003622852070541783,7.012119303796013,3.735379932844688
都市,2,0.00019440382216536514,5.765598847056517,3.7289304315543848
中国,2,0.00023616255319653211,3.71653415316293,3.7172185957002544
教育,2,0.0001430518691405517,6.952261076310299,3.7172137827133147
番組,2,0.00015462016625053716,6.631942908915,3.7147613608468832
テレビ,3,0.00033548061618957786,5.903344868150477,3.714671613319917
宇宙,2,0.00016816353847686158,8.396664064010523,3.7096804119732156
をもつ,3,2.5111669336309865e-05,3.5379635436190178,3.6948960335582495
鉄道,2,0.00010778267063449853,6.347803148154421,3.6892603778493576
東京,2,0.00026861021582210104,6.3551957365547365,3.6855724267611554
国際,2,0.00017126722794539426,4.756973002662361,3.677116864239596
時間,2,0.0002669172942938105,4.3783931980628035,3.676338560396866
スポーツ,4,8.887838023525402e-05,4.803204865721824,3.674759345784459
を除き,3,2.5111669336309865e-05,3.929442409752442,3.6723582128764174
通称,2,3.837288797458586e-05,4.453510919648594,3.661836743836009
以来,2,5.6430717609685094e-05,4.126791328203537,3.648725017247086
社会,2,0.00027227821246673055,5.250988601230137,3.63585552931376
を結ぶ,3,2.482951574826144e-05,3.8773208599782536,3.63584757110739
通信,2,0.00012471188591740406,5.498634523365718,3.6335525256355283
新聞,2,0.0001295084969142273,6.582448187658669,3.6333960907009915
をもって,4,3.385843056581105e-05,3.818817527792972,3.6224970927647715
電子,2,0.00014333402272860012,5.088640707598386,3.6217271212310735
中央,2,9.621437352451307e-05,5.951235271431489,3.621204307260859
総合,2,5.1351953024813434e-05,4.772565159288553,3.6131889126704246
まんが,3,3.639781285824688e-05,3.7171380340733946,3.6111441153849104
映像,2,8.210669412209181e-05,6.459585569864116,3.6054728088002075
んだ,2,0.00023616255319653211,4.385306152048466,3.599072076567691
世界,2,0.00050533707619473,6.397519985558011,3.5960973410443566
会社,2,0.00019694320445780097,4.927079602653524,3.583337047947937
小説,2,0.0001185045069803387,5.6950430973042065,3.582751771224843
建築,2,6.799901471967053e-05,7.465517981012459,3.579757925938718
雑誌,2,0.00017860322123465332,7.305259137412883,3.5774065821003114
文化,2,0.00021330811256460965,4.535470644111831,3.572505592255416
産業,2,0.00010778267063449853,5.34766890651845,3.572412329612613
